District,Age,Men,Women,Total,Check,Diff
M'Sila,55-59 ans,12716,11958,24674,24674,0
M'Sila,60-64 ans,7779,7358,15137,15137,0
M'Sila,65-69 ans,7301,6866,14167,14167,0
M'Sila,70-74 ans,6279,5451,11730,11730,0
M'Sila,75-79 ans,4687,3881,8568,8568,0
M'Sila,80-84 ans,2648,1966,4614,4614,0
M'Sila,85 ans &  +,1852,1462,3313,3314,1
Ouargla,0-4 Ans,35089,33400,68490,68489,-1
Ouargla,5-9 ans,30540,29392,59932,59932,0
Ouargla,10-14 ans,32739,31603,64342,64342,0
Ouargla,15-19 ans,33786,32526,66311,66312,1
Ouargla,20-24 ans,31961,31389,63350,63350,0
Ouargla,25-29 ans,27085,27196,54282,54281,-1
Ouargla,30-34 ans,19490,19690,39181,39180,-1
Ouargla,35-39 ans,16357,16814,33171,33171,0
Ouargla,40-44 ans,13452,13727,27179,27179,0
Ouargla,45-49 ans,11945,11877,23821,23822,1
Ouargla,50-54ans,9234,8238,17472,17472,0
Ouargla,55-59 ans,6287,5317,11604,11604,0
Ouargla,60-64 ans,4387,4111,8498,8498,0
Ouargla,65-69 ans,3716,3331,7047,7047,0
Ouargla,70-74 ans,2906,2411,5316,5317,1
Ouargla,75-79 ans,2110,1756,3866,3866,0
Ouargla,80-84 ans,1063,966,2030,2029,-1
Ouargla,85 ans &  +,812,902,1714,1714,0
Oran,0-4 Ans,72455,69512,141966,141967,1
Oran,5-9 ans,59498,57547,117045,117045,0
Oran,10-14 ans,64211,62081,126292,126292,0
Oran,15-19 ans,66506,65372,131878,131878,0
Oran,20-24 ans,72160,73163,145323,145323,0
Oran,25-29 ans,70391,70800,141190,141191,1
Oran,30-34 ans,62042,62203,124245,124245,0
Oran,35-39 ans,55000,55137,110137,110137,0
Oran,40-44 ans,49667,50082,99749,99749,0
Oran,45-49 ans,39798,40200,79998,79998,0
Oran,50-54ans,33154,33092,66246,66246,0
Oran,55-59 ans,26840,25573,52413,52413,0
Oran,60-64 ans,17251,17832,35082,35083,1
Oran,65-69 ans,14806,14745,29552,29551,-1
Oran,70-74 ans,11187,12288,23475,23475,0
Oran,75-79 ans,7035,8269,15304,15304,0
Oran,80-84 ans,3230,3974,7203,7204,1
Oran,85 ans &  +,1987,3232,5219,5219,0
Illizi,0-4 Ans,3929,3634,7563,7563,0
Illizi,5-9 ans,3179,2997,6176,6176,0
Illizi,10-14 ans,2786,2670,5456,5456,0
Illizi,15-19 ans,2885,2455,5340,5340,0
Illizi,20-24 ans,2878,2556,5434,5434,0
Illizi,25-29 ans,2860,2490,5350,5350,0
Illizi,30-34 ans,2261,2030,4290,4291,1
Illizi,35-39 ans,2021,1456,3478,3477,-1
Illizi,40-44 ans,1609,1114,2722,2723,1
Illizi,45-49 ans,1223,860,2083,2083,0
Illizi,50-54ans,761,555,1316,1316,0
Illizi,55-59 ans,507,385,893,892,-1
Illizi,60-64 ans,395,282,677,677,0
Illizi,65-69 ans,336,212,548,548,0
Illizi,70-74 ans,227,132,358,359,1
Illizi,75-79 ans,160,93,253,253,0
Illizi,80-84 ans,80,55,135,135,0
Illizi,85 ans &  +,60,55,115,115,0
Boumerdes,0-4 Ans,41044,38798,79843,79842,-1
Boumerdes,5-9 ans,31081,29771,60852,60852,0
Boumerdes,10-14 ans,35308,32875,68183,68183,0
Boumerdes,15-19 ans,41870,39564,81434,81434,0
Boumerdes,20-24 ans,45756,44157,89913,89913,0
Boumerdes,25-29 ans,44117,41437,85555,85554,-1
Boumerdes,30-34 ans,35806,33284,69090,69090,0
Boumerdes,35-39 ans,30571,29186,59757,59757,0
Boumerdes,40-44 ans,24849,23726,48575,48575,0
Boumerdes,45-49 ans,19561,18069,37630,37630,0
Boumerdes,50-54ans,17036,15756,32792,32792,0
Boumerdes,55-59 ans,13811,12308,26120,26119,-1
Boumerdes,60-64 ans,9604,9156,18759,18760,1
Boumerdes,65-69 ans,7942,7548,15490,15490,0
Boumerdes,70-74 ans,5482,5881,11364,11363,-1
Boumerdes,75-79 ans,3845,4342,8187,8187,0
Boumerdes,80-84 ans,2137,2265,4403,4402,-1
Boumerdes,85 ans &  +,1344,1677,3021,3021,0
El Bayadh,0-4 Ans,13505,12852,26358,26357,-1
El Bayadh,5-9 ans,12108,11390,23498,23498,0
El Bayadh,10-14 ans,12291,12060,24352,24351,-1
El Bayadh,15-19 ans,12134,11659,23793,23793,0
El Bayadh,20-24 ans,11739,11907,23646,23646,0
El Bayadh,25-29 ans,10800,11087,21887,21887,0
El Bayadh,30-34 ans,8947,9376,18323,18323,0
El Bayadh,35-39 ans,7706,7778,15485,15484,-1
El Bayadh,40-44 ans,6350,6257,12607,12607,0
El Bayadh,45-49 ans,4637,4388,9024,9025,1
El Bayadh,50-54ans,3966,3796,7762,7762,0
El Bayadh,55-59 ans,3013,2902,5915,5915,0
El Bayadh,60-64 ans,1937,1867,3804,3804,0
El Bayadh,65-69 ans,2012,1868,3881,3880,-1
El Bayadh,70-74 ans,1564,1408,2973,2972,-1
El Bayadh,75-79 ans,1216,1087,2304,2303,-1
El Bayadh,80-84 ans,718,635,1353,1353,0
El Bayadh,85 ans &  +,665,713,1378,1378,0
Bordj Bou Arreridj,0-4 Ans,33075,31376,64451,64451,0
Bordj Bou Arreridj,5-9 ans,27432,26026,53458,53458,0
Bordj Bou Arreridj,10-14 ans,32298,31221,63519,63519,0
Bordj Bou Arreridj,15-19 ans,37830,36502,74332,74332,0
Bordj Bou Arreridj,20-24 ans,38242,36583,74825,74825,0
Bordj Bou Arreridj,25-29 ans,33554,31411,64965,64965,0
Bordj Bou Arreridj,30-34 ans,24978,23988,48966,48966,0
Bordj Bou Arreridj,35-39 ans,19587,19568,39155,39155,0
Bordj Bou Arreridj,40-44 ans,16386,15974,32360,32360,0
Bordj Bou Arreridj,45-49 ans,14855,13910,28765,28765,0
Bordj Bou Arreridj,50-54ans,11517,11043,22560,22560,0
Bordj Bou Arreridj,55-59 ans,9441,8756,18197,18197,0
Bordj Bou Arreridj,60-64 ans,5484,5515,10999,10999,0
Bordj Bou Arreridj,65-69 ans,5115,5117,10232,10232,0
Bordj Bou Arreridj,70-74 ans,4516,4545,9061,9061,0
Bordj Bou Arreridj,75-79 ans,3375,3275,6650,6650,0
Bordj Bou Arreridj,80-84 ans,1833,1615,3448,3448,0
Bordj Bou Arreridj,85 ans &  +,1140,1046,2186,2186,0
El Tarf,0-4 Ans,18486,17353,35838,35839,1
El Tarf,5-9 ans,15752,15059,30811,30811,0
El Tarf,10-14 ans,18182,17617,35798,35799,1
El Tarf,15-19 ans,20252,19785,40037,40037,0
El Tarf,20-24 ans,21056,21539,42595,42595,0
El Tarf,25-29 ans,21450,22224,43674,43674,0
El Tarf,30-34 ans,17615,18980,36595,36595,0
El Tarf,35-39 ans,15068,15596,30664,30664,0
El Tarf,40-44 ans,13153,13696,26849,26849,0
El Tarf,45-49 ans,10745,11128,21873,21873,0
El Tarf,50-54ans,8966,8908,17873,17874,1
El Tarf,55-59 ans,6871,6563,13434,13434,0
El Tarf,60-64 ans,4884,4927,9811,9811,0
El Tarf,65-69 ans,3883,3828,7712,7711,-1
El Tarf,70-74 ans,3207,3128,6335,6335,0
El Tarf,75-79 ans,2288,2153,4440,4441,1
El Tarf,80-84 ans,1313,1179,2493,2492,-1
El Tarf,85 ans &  +,725,762,1487,1487,0
Tindouf,0-4 Ans,3116,3049,6166,6165,-1
Tindouf,5-9 ans,2484,2611,5094,5095,1
Tindouf,10-14 ans,2561,2524,5086,5085,-1
Tindouf,15-19 ans,2618,2489,5108,5107,-1
Tindouf,20-24 ans,2453,2608,5061,5061,0
Tindouf,25-29 ans,2413,2547,4960,4960,0
Tindouf,30-34 ans,1964,1960,3923,3924,1
Tindouf,35-39 ans,1737,1575,3312,3312,0
Tindouf,40-44 ans,1584,1321,2905,2905,0
Tindouf,45-49 ans,1150,1069,2219,2219,0
Tindouf,50-54ans,792,740,1533,1532,-1
Tindouf,55-59 ans,672,638,1310,1310,0
Tindouf,60-64 ans,461,346,807,807,0
Tindouf,65-69 ans,364,304,668,668,0
Tindouf,70-74 ans,233,144,377,377,0
Tindouf,75-79 ans,174,121,295,295,0
Tindouf,80-84 ans,102,57,159,159,0
Tindouf,85 ans &  +,75,49,124,124,0
El Oued,0-4 Ans,44197,41677,85873,85874,1
El Oued,5-9 ans,37321,35653,72974,72974,0
El Oued,10-14 ans,39479,37748,77227,77227,0
El Oued,15-19 ans,40831,39694,80524,80525,1
El Oued,20-24 ans,37154,35948,73102,73102,0
El Oued,25-29 ans,30265,29436,59701,59701,0
El Oued,30-34 ans,20564,20224,40789,40788,-1
El Oued,35-39 ans,17478,17595,35073,35073,0
El Oued,40-44 ans,14501,14420,28921,28921,0
El Oued,45-49 ans,12171,12116,24287,24287,0
El Oued,50-54ans,9325,9136,18460,18461,1
El Oued,55-59 ans,6546,6348,12894,12894,0
El Oued,60-64 ans,4946,4888,9834,9834,0
El Oued,65-69 ans,4605,4437,9041,9042,1
El Oued,70-74 ans,3727,3191,6918,6918,0
El Oued,75-79 ans,3201,2443,5644,5644,0
El Oued,80-84 ans,1539,1175,2713,2714,1
El Oued,85 ans &  +,1198,1132,2330,2330,0
Souk Ahras,0-4 Ans,20746,20008,40755,40754,-1
Souk Ahras,5-9 ans,18044,17236,35280,35280,0
Souk Ahras,10-14 ans,20788,19745,40533,40533,0
Souk Ahras,15-19 ans,22427,21867,44294,44294,0
Souk Ahras,20-24 ans,23909,24732,48641,48641,0
Souk Ahras,25-29 ans,22630,23488,46118,46118,0
Souk Ahras,30-34 ans,17022,18064,35086,35086,0
Souk Ahras,35-39 ans,14854,15511,30365,30365,0
Souk Ahras,40-44 ans,13061,13292,26354,26353,-1
Souk Ahras,45-49 ans,11473,11414,22887,22887,0
Souk Ahras,50-54ans,9027,9048,18075,18075,0
Souk Ahras,55-59 ans,7601,7160,14761,14761,0
Souk Ahras,60-64 ans,4700,4904,9604,9604,0
Souk Ahras,65-69 ans,4256,4240,8497,8496,-1
Souk Ahras,70-74 ans,3237,3450,6687,6687,0
Souk Ahras,75-79 ans,2676,2649,5325,5325,0
Souk Ahras,80-84 ans,1534,1422,2956,2956,0
Souk Ahras,85 ans &  +,891,922,1812,1813,1
Tissemsilt,0-4 Ans,14481,13409,27889,27890,1
Tissemsilt,5-9 ans,13087,12063,25150,25150,0
Tissemsilt,10-14 ans,15387,14728,30115,30115,0
Tissemsilt,15-19 ans,18282,17658,35940,35940,0
Tissemsilt,20-24 ans,18009,17686,35695,35695,0
Tissemsilt,25-29 ans,15376,14988,30364,30364,0
Tissemsilt,30-34 ans,11110,11763,22872,22873,1
Tissemsilt,35-39 ans,9362,9760,19122,19122,0
Tissemsilt,40-44 ans,8011,8287,16298,16298,0
Tissemsilt,45-49 ans,5728,5744,11471,11472,1
Tissemsilt,50-54ans,5294,5104,10398,10398,0
Tissemsilt,55-59 ans,4295,3964,8259,8259,0
Tissemsilt,60-64 ans,2863,2639,5502,5502,0
Tissemsilt,65-69 ans,2731,2471,5202,5202,0
Tissemsilt,70-74 ans,2278,2012,4291,4290,-1
Tissemsilt,75-79 ans,1701,1502,3203,3203,0
Tissemsilt,80-84 ans,882,688,1571,1570,-1
Tissemsilt,85 ans &  +,530,529,1060,1059,-1
Khenchela,0-4 Ans,20143,18757,38900,38900,0
Khenchela,5-9 ans,18261,17350,35612,35611,-1
Khenchela,10-14 ans,20531,19801,40332,40332,0
Khenchela,15-19 ans,22193,21238,43430,43431,1
Khenchela,20-24 ans,22221,21599,43820,43820,0
Khenchela,25-29 ans,19271,19213,38483,38484,1
Khenchela,30-34 ans,14489,14857,29346,29346,0
Khenchela,35-39 ans,11759,12314,24073,24073,0
Khenchela,40-44 ans,11073,11092,22164,22165,1
Khenchela,45-49 ans,8503,9020,17523,17523,0
Khenchela,50-54ans,7465,7487,14952,14952,0
Khenchela,55-59 ans,6300,5766,12066,12066,0
Khenchela,60-64 ans,3370,3394,6764,6764,0
Khenchela,65-69 ans,3336,3229,6565,6565,0
Khenchela,70-74 ans,2577,2531,5108,5108,0
Khenchela,75-79 ans,2148,1881,4030,4029,-1
Khenchela,80-84 ans,1046,918,1964,1964,0
Khenchela,85 ans &  +,754,652,1406,1406,0
Tipaza,0-4 Ans,30051,28453,58504,58504,0
Tipaza,5-9 ans,24237,22980,47217,47217,0
Tipaza,10-14 ans,26917,26032,52949,52949,0
Tipaza,15-19 ans,30649,29831,60480,60480,0
Tipaza,20-24 ans,31552,31366,62918,62918,0
Tipaza,25-29 ans,29398,28922,58320,58320,0
Tipaza,30-34 ans,24492,24623,49114,49115,1
Tipaza,35-39 ans,22328,22227,44555,44555,0
Tipaza,40-44 ans,19686,19692,39377,39378,1
Tipaza,45-49 ans,14420,14061,28481,28481,0
Tipaza,50-54ans,12281,11799,24080,24080,0
Tipaza,55-59 ans,9690,8760,18450,18450,0
Tipaza,60-64 ans,6769,6669,13438,13438,0
Tipaza,65-69 ans,5856,5668,11524,11524,0
Tipaza,70-74 ans,4630,4631,9261,9261,0
Tipaza,75-79 ans,3094,3124,6218,6218,0
Tipaza,80-84 ans,1494,1529,3023,3023,0
Tipaza,85 ans &  +,909,1096,2005,2005,0
Mila,0-4 Ans,37192,35509,72701,72701,0
Mila,5-9 ans,32225,31184,63409,63409,0
Mila,10-14 ans,40473,38886,79360,79359,-1
Mila,15-19 ans,46635,45842,92477,92477,0
Mila,20-24 ans,45801,44555,90357,90356,-1
Mila,25-29 ans,37709,36601,74309,74310,1
Mila,30-34 ans,28670,28796,57466,57466,0
Mila,35-39 ans,22947,23635,46582,46582,0
Mila,40-44 ans,21232,21716,42948,42948,0
Mila,45-49 ans,18908,19307,38215,38215,0
Mila,50-54ans,14836,14891,29726,29727,1
Mila,55-59 ans,11829,11356,23185,23185,0
Mila,60-64 ans,8274,8284,16558,16558,0
Mila,65-69 ans,6768,7108,13876,13876,0
Mila,70-74 ans,5756,5432,11188,11188,0
Mila,75-79 ans,3847,3712,7559,7559,0
Mila,80-84 ans,2095,1955,4050,4050,0
Mila,85 ans &  +,1314,1377,2691,2691,0
Naama,0-4 Ans,11107,10645,21753,21752,-1
Naama,5-9 ans,9507,9157,18664,18664,0
Naama,10-14 ans,9560,9193,18752,18753,1
Naama,15-19 ans,9807,9500,19306,19307,1
Naama,20-24 ans,10079,10257,20336,20336,0
Naama,25-29 ans,9912,10036,19948,19948,0
Naama,30-34 ans,8530,8096,16626,16626,0
Naama,35-39 ans,7079,6685,13764,13764,0
Naama,40-44 ans,5472,5249,10721,10721,0
Naama,45-49 ans,4139,3818,7957,7957,0
Naama,50-54ans,3541,3484,7025,7025,0
Naama,55-59 ans,2449,2225,4675,4674,-1
Naama,60-64 ans,1745,1656,3401,3401,0
Naama,65-69 ans,2013,1683,3696,3696,0
Naama,70-74 ans,1177,1144,2321,2321,0
Naama,75-79 ans,996,820,1816,1816,0
Naama,80-84 ans,647,511,1158,1158,0
Naama,85 ans &  +,469,371,840,840,0
Ghardaia,0-4 Ans,23781,22083,45864,45864,0
Ghardaia,5-9 ans,20110,19006,39116,39116,0
Ghardaia,10-14 ans,20190,19035,39226,39225,-1
Ghardaia,15-19 ans,19974,19388,39362,39362,0
Ghardaia,20-24 ans,18994,18643,37637,37637,0
Ghardaia,25-29 ans,16424,16132,32556,32556,0
Ghardaia,30-34 ans,13068,13019,26087,26087,0
Ghardaia,35-39 ans,11683,11771,23454,23454,0
Ghardaia,40-44 ans,10387,10220,20607,20607,0
Ghardaia,45-49 ans,8537,8288,16824,16825,1
Ghardaia,50-54ans,5908,5747,11655,11655,0
Ghardaia,55-59 ans,3864,3802,7666,7666,0
Ghardaia,60-64 ans,3151,2970,6121,6121,0
Ghardaia,65-69 ans,3001,2859,5860,5860,0
Ghardaia,70-74 ans,2575,2267,4842,4842,0
Ghardaia,75-79 ans,1746,1376,3122,3122,0
Ghardaia,80-84 ans,890,683,1573,1573,0
Ghardaia,85 ans &  +,634,686,1320,1320,0
Ain Defla,0-4 Ans,39759,37861,77620,77620,0
Ain Defla,5-9 ans,33635,32113,65748,65748,0
Ain Defla,10-14 ans,38932,37133,76065,76065,0
Ain Defla,15-19 ans,45513,44241,89754,89754,0
Ain Defla,20-24 ans,46201,44819,91020,91020,0
Ain Defla,25-29 ans,39608,38256,77864,77864,0
Ain Defla,30-34 ans,30155,29544,59698,59699,1
Ain Defla,35-39 ans,24744,25320,50064,50064,0
Ain Defla,40-44 ans,21147,21353,42500,42500,0
Ain Defla,45-49 ans,15661,16253,31914,31914,0
Ain Defla,50-54ans,14319,13901,28220,28220,0
Ain Defla,55-59 ans,11430,10496,21925,21926,1
Ain Defla,60-64 ans,7837,7267,15104,15104,0
Ain Defla,65-69 ans,7033,6423,13456,13456,0
Ain Defla,70-74 ans,5483,5310,10793,10793,0
Ain Defla,75-79 ans,3784,3562,7346,7346,0
Ain Defla,80-84 ans,1995,1761,3755,3756,1
Ain Defla,85 ans &  +,1197,1216,2413,2413,0
Ain Temouchent,0-4 Ans,17996,17181,35177,35177,0
Ain Temouchent,5-9 ans,14738,14072,28810,28810,0
Ain Temouchent,10-14 ans,15716,15252,30969,30968,-1
Ain Temouchent,15-19 ans,16284,16018,32303,32302,-1
Ain Temouchent,20-24 ans,17830,17205,35035,35035,0
Ain Temouchent,25-29 ans,18482,18083,36565,36565,0
Ain Temouchent,30-34 ans,16542,16226,32768,32768,0
Ain Temouchent,35-39 ans,14625,14407,29031,29032,1
Ain Temouchent,40-44 ans,13035,13035,26070,26070,0
Ain Temouchent,45-49 ans,10377,9985,20362,20362,0
Ain Temouchent,50-54ans,8862,8444,17305,17306,1
Ain Temouchent,55-59 ans,7154,6641,13795,13795,0
Ain Temouchent,60-64 ans,4788,4861,9649,9649,0
Ain Temouchent,65-69 ans,4112,4158,8270,8270,0
Ain Temouchent,70-74 ans,3286,3407,6694,6693,-1
Ain Temouchent,75-79 ans,1921,2300,4221,4221,0
Ain Temouchent,80-84 ans,1059,1245,2304,2304,0
Ain Temouchent,85 ans &  +,618,957,1575,1575,0
Relizane,0-4 Ans,36021,34763,70784,70784,0
Relizane,5-9 ans,30832,29568,60400,60400,0
Relizane,10-14 ans,35931,34714,70645,70645,0
Relizane,15-19 ans,41319,40375,81694,81694,0
Relizane,20-24 ans,44701,43855,88556,88556,0
Relizane,25-29 ans,38773,37954,76727,76727,0
Relizane,30-34 ans,28901,29108,58009,58009,0
Relizane,35-39 ans,22757,23052,45809,45809,0
Relizane,40-44 ans,19834,20238,40072,40072,0
Relizane,45-49 ans,16960,17385,34345,34345,0
Relizane,50-54ans,14233,13594,27827,27827,0
Relizane,55-59 ans,11124,10545,21669,21669,0
Relizane,60-64 ans,6389,6484,12873,12873,0
Relizane,65-69 ans,6239,6191,12431,12430,-1
Relizane,70-74 ans,5620,5426,11046,11046,0
Relizane,75-79 ans,3782,3548,7330,7330,0
Relizane,80-84 ans,1661,1614,3276,3275,-1
Relizane,85 ans &  +,1078,1243,2321,2321,0
