District,Age,Men,Women,Total,Check,Diff
Biskra,40-44 ans,18823,18974,37797,37797,0
Biskra,45-49 ans,15767,16049,31817,31816,-1
Biskra,50-54ans,12734,12680,25414,25414,0
Biskra,55-59 ans,9316,8736,18052,18052,0
Biskra,60-64 ans,5735,5817,11552,11552,0
Biskra,65-69 ans,5354,5387,10741,10741,0
Biskra,70-74 ans,4523,4575,9098,9098,0
Biskra,75-79 ans,3862,3600,7462,7462,0
Biskra,80-84 ans,1785,1627,3412,3412,0
Biskra,85 ans &  +,1330,1235,2565,2565,0
Blida,0-4 Ans,52988,50716,103705,103704,-1
Blida,5-9 ans,42504,40825,83330,83329,-1
Blida,10-14 ans,46841,44706,91548,91547,-1
Blida,15-19 ans,51709,49548,101257,101257,0
Blida,20-24 ans,52612,51698,104309,104310,1
Blida,25-29 ans,49433,48580,98013,98013,0
Blida,30-34 ans,41389,40816,82205,82205,0
Blida,35-39 ans,37962,37941,75903,75903,0
Blida,40-44 ans,32787,32295,65082,65082,0
Blida,45-49 ans,25131,24311,49442,49442,0
Blida,50-54ans,21887,20317,42204,42204,0
Blida,55-59 ans,17058,15315,32372,32373,1
Blida,60-64 ans,11950,11055,23004,23005,1
Blida,65-69 ans,9422,8938,18359,18360,1
Blida,70-74 ans,6885,7059,13944,13944,0
Blida,75-79 ans,4727,4767,9494,9494,0
Blida,80-84 ans,2298,2232,4530,4530,0
Blida,85 ans &  +,1414,1509,2923,2923,0
Tamanrasset,0-4 Ans,12814,12127,24942,24941,-1
Tamanrasset,5-9 ans,10712,10263,20974,20975,1
Tamanrasset,10-14 ans,10262,9712,19974,19974,0
Tamanrasset,15-19 ans,10212,9897,20109,20109,0
Tamanrasset,20-24 ans,9082,9292,18373,18374,1
Tamanrasset,25-29 ans,8424,8122,16546,16546,0
Tamanrasset,30-34 ans,5833,5676,11509,11509,0
Tamanrasset,35-39 ans,5460,5189,10650,10649,-1
Tamanrasset,40-44 ans,4702,4307,9010,9009,-1
Tamanrasset,45-49 ans,4054,3505,7559,7559,0
Tamanrasset,50-54ans,2564,2023,4587,4587,0
Tamanrasset,55-59 ans,2032,1747,3779,3779,0
Tamanrasset,60-64 ans,1450,1087,2537,2537,0
Tamanrasset,65-69 ans,1249,1081,2330,2330,0
Tamanrasset,70-74 ans,730,569,1299,1299,0
Tamanrasset,75-79 ans,547,505,1053,1052,-1
Tamanrasset,80-84 ans,209,176,385,385,0
Tamanrasset,85 ans &  +,207,223,430,430,0
Bechar,0-4 Ans,14791,14731,29522,29522,0
Bechar,5-9 ans,12222,11643,23865,23865,0
Bechar,10-14 ans,12967,12720,25687,25687,0
Bechar,15-19 ans,14173,13821,27994,27994,0
Bechar,20-24 ans,14862,15455,30317,30317,0
Bechar,25-29 ans,13866,14388,28254,28254,0
Bechar,30-34 ans,11265,11059,22324,22324,0
Bechar,35-39 ans,9230,9181,18411,18411,0
Bechar,40-44 ans,7654,7771,15425,15425,0
Bechar,45-49 ans,6540,6211,12751,12751,0
Bechar,50-54ans,5383,5276,10659,10659,0
Bechar,55-59 ans,3721,3750,7471,7471,0
Bechar,60-64 ans,2616,2524,5140,5140,0
Bechar,65-69 ans,2261,2014,4275,4275,0
Bechar,70-74 ans,1622,1637,3259,3259,0
Bechar,75-79 ans,1172,1243,2415,2415,0
Bechar,80-84 ans,663,633,1296,1296,0
Bechar,85 ans &  +,424,570,994,994,0
Bouira,0-4 Ans,32037,30344,62381,62381,0
Bouira,5-9 ans,27225,26008,53233,53233,0
Bouira,10-14 ans,32391,31059,63450,63450,0
Bouira,15-19 ans,38880,37703,76584,76583,-1
Bouira,20-24 ans,41900,39952,81853,81852,-1
Bouira,25-29 ans,39770,37971,77742,77741,-1
Bouira,30-34 ans,31096,29867,60963,60963,0
Bouira,35-39 ans,24171,24184,48354,48355,1
Bouira,40-44 ans,19308,18988,38296,38296,0
Bouira,45-49 ans,15721,15248,30970,30969,-1
Bouira,50-54ans,13360,13491,26852,26851,-1
Bouira,55-59 ans,10790,10250,21040,21040,0
Bouira,60-64 ans,7063,7217,14279,14280,1
Bouira,65-69 ans,6363,6476,12840,12839,-1
Bouira,70-74 ans,4935,5358,10293,10293,0
Bouira,75-79 ans,3896,3925,7820,7821,1
Bouira,80-84 ans,2199,2103,4302,4302,0
Bouira,85 ans &  +,1692,1583,3274,3275,1
Tebessa,0-4 Ans,32387,30071,62459,62458,-1
Tebessa,5-9 ans,29479,28456,57935,57935,0
Tebessa,10-14 ans,35243,33909,69152,69152,0
Tebessa,15-19 ans,38870,37314,76184,76184,0
Tebessa,20-24 ans,37145,37694,74839,74839,0
Tebessa,25-29 ans,32116,32132,64247,64248,1
Tebessa,30-34 ans,23709,24430,48139,48139,0
Tebessa,35-39 ans,19309,20522,39832,39831,-1
Tebessa,40-44 ans,17938,18680,36618,36618,0
Tebessa,45-49 ans,15502,15901,31403,31403,0
Tebessa,50-54ans,12966,13126,26092,26092,0
Tebessa,55-59 ans,9526,8874,18400,18400,0
Tebessa,60-64 ans,5494,5722,11216,11216,0
Tebessa,65-69 ans,5738,5663,11401,11401,0
Tebessa,70-74 ans,4509,4396,8905,8905,0
Tebessa,75-79 ans,3342,3098,6441,6440,-1
Tebessa,80-84 ans,1658,1539,3198,3197,-1
Tebessa,85 ans &  +,1093,1006,2099,2099,0
Tlemcen,0-4 Ans,45129,43780,88909,88909,0
Tlemcen,5-9 ans,37728,36124,73852,73852,0
Tlemcen,10-14 ans,42290,41043,83333,83333,0
Tlemcen,15-19 ans,43545,42331,85876,85876,0
Tlemcen,20-24 ans,48643,46255,94898,94898,0
Tlemcen,25-29 ans,49080,45238,94319,94318,-1
Tlemcen,30-34 ans,41715,38738,80453,80453,0
Tlemcen,35-39 ans,35552,34283,69835,69835,0
Tlemcen,40-44 ans,31086,30416,61501,61502,1
Tlemcen,45-49 ans,24824,24548,49372,49372,0
Tlemcen,50-54ans,23419,22289,45708,45708,0
Tlemcen,55-59 ans,19227,17461,36688,36688,0
Tlemcen,60-64 ans,11990,12170,24160,24160,0
Tlemcen,65-69 ans,10357,10767,21123,21124,1
Tlemcen,70-74 ans,7544,8849,16393,16393,0
Tlemcen,75-79 ans,5115,6360,11475,11475,0
Tlemcen,80-84 ans,2820,3510,6330,6330,0
Tlemcen,85 ans &  +,2103,2609,4712,4712,0
Tizi Ouzou,0-4 Ans,38549,36612,75161,75161,0
Tizi Ouzou,5-9 ans,35638,33951,69589,69589,0
Tizi Ouzou,10-14 ans,44039,42078,86117,86117,0
Tizi Ouzou,15-19 ans,56681,54131,110812,110812,0
Tizi Ouzou,20-24 ans,68230,64706,132936,132936,0
Tizi Ouzou,25-29 ans,67399,61819,129217,129218,1
Tizi Ouzou,30-34 ans,53656,51171,104827,104827,0
Tizi Ouzou,35-39 ans,43395,42822,86217,86217,0
Tizi Ouzou,40-44 ans,36230,36684,72914,72914,0
Tizi Ouzou,45-49 ans,23548,24288,47836,47836,0
Tizi Ouzou,50-54ans,24478,24837,49315,49315,0
Tizi Ouzou,55-59 ans,22199,22371,44570,44570,0
Tizi Ouzou,60-64 ans,14223,15986,30209,30209,0
Tizi Ouzou,65-69 ans,11752,14661,26413,26413,0
Tizi Ouzou,70-74 ans,8880,12447,21327,21327,0
Tizi Ouzou,75-79 ans,7459,10823,18283,18282,-1
Tizi Ouzou,80-84 ans,4522,6734,11255,11256,1
Tizi Ouzou,85 ans &  +,3372,5294,8666,8666,0
Djelfa,0-4 Ans,77739,68265,146003,146004,1
Djelfa,5-9 ans,66468,61452,127919,127920,1
Djelfa,10-14 ans,66550,61870,128420,128420,0
Djelfa,15-19 ans,66949,63298,130247,130247,0
Djelfa,20-24 ans,60162,60718,120880,120880,0
Djelfa,25-29 ans,50862,51065,101927,101927,0
Djelfa,30-34 ans,35652,34358,70010,70010,0
Djelfa,35-39 ans,31531,30839,62371,62370,-1
Djelfa,40-44 ans,23778,23704,47482,47482,0
Djelfa,45-49 ans,21072,20841,41913,41913,0
Djelfa,50-54ans,14632,14427,29059,29059,0
Djelfa,55-59 ans,13576,12022,25598,25598,0
Djelfa,60-64 ans,8553,7567,16120,16120,0
Djelfa,65-69 ans,8919,7217,16136,16136,0
Djelfa,70-74 ans,6234,5066,11301,11300,-1
Djelfa,75-79 ans,4659,3417,8076,8076,0
Djelfa,80-84 ans,2228,1469,3697,3697,0
Djelfa,85 ans &  +,1910,1445,3355,3355,0
Tiaret,0-4 Ans,45808,43288,89096,89096,0
Tiaret,5-9 ans,38564,37620,76185,76184,-1
Tiaret,10-14 ans,44100,42805,86905,86905,0
Tiaret,15-19 ans,47805,46702,94507,94507,0
Tiaret,20-24 ans,46793,46765,93558,93558,0
Tiaret,25-29 ans,42481,42293,84774,84774,0
